15847,Olga Aleksandrovna Brusnikina,Female,21,18-25,169,55,RUS,2000,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
15847,Olga Aleksandrovna Brusnikina,Female,25,18-25,169,55,RUS,2004,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
15848,"Ernesto Mario ""Enrico"" Brusoni",Male,21,18-25,,,ITA,1900,Cycling,Cycling Men's Points Race,Gold
16945,Jahangir Ahmed Butt,Male,25,18-25,175,70,PAK,1968,Hockey,Hockey Men's Hockey,Gold
16945,Jahangir Ahmed Butt,Male,29,25-30,175,70,PAK,1972,Hockey,Hockey Men's Hockey,Silver
16946,John Hurst Butt,Male,57,Over 30,,,GBR,1908,Shooting,"Shooting Men's Trap, Team",Bronze
16946,John Hurst Butt,Male,61,Over 30,,,GBR,1912,Shooting,"Shooting Men's Trap, Team",Silver
16947,Linus Butt,Male,29,25-30,186,83,GER,2016,Hockey,Hockey Men's Hockey,Bronze
3701,Camilla Rseler Andersen,Female,27,25-30,169,65,DEN,2000,Handball,Handball Women's Handball,Gold
3702,Carl Andersen,Male,27,25-30,,,DEN,1906,Gymnastics,Gymnastics Men's Team All-Around,Silver
3703,Carl Albert Andersen,Male,23,18-25,,,NOR,1900,Athletics,Athletics Men's Pole Vault,Bronze
3703,Carl Albert Andersen,Male,29,25-30,,,NOR,1906,Gymnastics,Gymnastics Men's Team All-Around,Gold
3703,Carl Albert Andersen,Male,31,Over 30,,,NOR,1908,Gymnastics,Gymnastics Men's Team All-Around,Silver
3705,Carl Rudolf Svend Andersen,Male,20,18-25,,,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
3706,Carl-Ebbe Andersen,Male,19,18-25,,,DEN,1948,Rowing,Rowing Men's Coxed Pairs,Gold
2546,Alessandra dos Santos de Oliveira,Female,22,18-25,200,85,BRA,1996,Basketball,Basketball Women's Basketball,Silver
2546,Alessandra dos Santos de Oliveira,Female,26,25-30,200,85,BRA,2000,Basketball,Basketball Women's Basketball,Bronze
2552,Hugh Vincenzo Alessandroni,Male,24,18-25,,,USA,1932,Fencing,"Fencing Men's Foil, Team",Bronze
15853,Arne Brustad,Male,24,18-25,,,NOR,1936,Football,Football Men's Football,Bronze
15854,Georg Brustad,Male,19,18-25,,,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
5999,Aldo Aureggi,Male,28,25-30,,,ITA,1960,Fencing,"Fencing Men's Foil, Team",Silver
6012,Otto Torsten Johan Aust,Male,19,18-25,,,SWE,1912,Sailing,Sailing Mixed 6 metres,Bronze
7172,Nikolay Fyodorovich Balboshin,Male,27,25-30,188,100,URS,1976,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
7177,Ledys Frank Balceiro Pajn,Male,25,18-25,178,78,CUB,2000,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
2553,Karl Theophil Christian Aletter,Male,26,25-30,183,,GER,1932,Rowing,Rowing Men's Coxless Fours,Silver
2559,Alex Sandro Lobo Silva,Male,21,18-25,177,60,BRA,2012,Football,Football Men's Football,Silver
3718,Johan Frederik Kobberup Andersen,Male,28,25-30,,,DEN,1948,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
3720,Frithjof Andersen,Male,27,25-30,,,NOR,1920,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
3725,"Greta Marie Andersen (-Sonnichsen, -Veress)",Female,21,18-25,,,DEN,1948,Swimming,Swimming Women's 100 metres Freestyle,Gold
3725,"Greta Marie Andersen (-Sonnichsen, -Veress)",Female,21,18-25,,,DEN,1948,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
1249,Jos Aguilar Pulsn,Male,20,18-25,173,64,CUB,1980,Boxing,Boxing Men's Light-Welterweight,Bronze
1254,Macarena Aguilar Daz,Female,27,25-30,170,67,ESP,2012,Handball,Handball Women's Handball,Bronze
4858,Magomedkhan Suleymanovich Aratsilov,Male,29,25-30,180,82,URS,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
